#ID,基カードID,同カードID,冠名,メイン名,スタックか？,レアリティ,コスト,パラメータ,,,,,,,,,,,,レベル最大,ホロレベル最大,マスターホロ,忠誠度最大,名声最大,名声ボーナス係数,通常スキルID,アーサーボーナススキルID,ジョブボーナススキルID,スキルLv上限,スキルｶｯﾄｲﾝID,PictID,,,,拡大画像,ホロタイプ,経験値ID,売却値段,合成素材フラグ,売却素材フラグ,フレーバーテキスト,イラストレーター,声優,プロフィール（データ）,,,,,,,,,,,,,,,見た目（通常）,,,,,,,,,,,,,見た目（親密度MAX）,,,,,,,,,,,,,騎士セリフ,,,,,,,,,,,,,,,ボイスID,,,,,,,,,,ダウンロード中表示,
#,,,,,,,,HP,成長限界HP,忠誠度MAXボーナス,ATK,成長限界ATK,忠誠度MAXボーナス,INT,成長限界INT,忠誠度MAXボーナス,MND,成長限界MND,忠誠度MAXボーナス,,,,,,,,,,,,通常,種別,MAX,種別,サイズ,,LVUP,,,,,,,性別,3S/B,3S/W,3S/H,身長,体重,利き手,その他1,その他2,その他3,その他4,その他5,その他6,その他7,その他8,性別,スリーサイズ,身長,体重,利き手,その他1,その他2,その他3,その他4,その他5,その他6,その他7,その他8,性別,スリーサイズ,身長,体重,利き手,その他1,その他2,その他3,その他4,その他5,その他6,その他7,その他8,ダウンロード中,ガチャと新規入手,進化合成,騎士LvUP,スキルLvUP,騎士LvMAX,探索出発,探索アーサー支援,探索宝箱,探索強敵,忠誠度UP,忠誠度MAX,スキル発動（攻妨特）,スキル発動（回支防）,コンティニュー,挨拶,騎士LvUP,探索出発,未：探索アーサー支援[代：挨拶],探索宝箱,未：探索強敵[代：探索出発],未：忠誠度UP[代：騎士LvUP],スキル発動（物魔妨特）,スキル発動（回支防）,コンティニュー,,
#レアリティ参照用ダミー,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10001046,10001046,10001045,生殺与奪,バーゲスト,,ULTRARARE,5,623,923,0,0,0,0,78,115,0,78,115,0,50,55,,100,90,500,13200291,13200292,,1,2,10001046,0,10001046,1,L,2,105,15000,,,『断絶の時代』では、指名手配犯を確<br>実に追い立てて捕獲、あるいはその場<br>で処刑する役割を負っていた妖精。現<br>在では手配者リストが破損しており、<br>手当たり次第に人間を襲って殺害する、<br>害悪そのものとなっている。,バチ子,芹澤 優,FEMALE,75,55,82,147,43,RIGHT,,,,,,,,,女性,B:75、W:55、H:82,147cm,43kg,右,,,,,,,,,女性,B:75、W:55、H:82,147cm,43kg,右,,,,,,,,,生肉や骨なんかでぼくが釣られると思うなよ？<br>そんなに簡単に飼い慣らされたりしないからな！<br>分かったか！　…がじがじ。,ぼくは犬だ。強くてかっこいい猟犬だ。<br>それで、どいつに噛みつけばいい？,クク…。ボクのかっこよさに<br>驚いて声も出ないか。,逃げるより追う方が好きなんだよ。<br>食らいつく楽しみがあるからな。,どんなモノにも急所があるんだ。<br>一撃でトドメを刺したら一人前さ。,はやく出ようぜ！　地の果てまで<br>追いかけて骨まで噛み砕いてやる！,ぼくは鼻が利くんだ。<br>探索に行くなら忘れんなよ！,なあ、やっちゃってもいいだろ？<br>あそこ、美味しそうなんだよ…。な？,掘ってたらこんなもんが出てきたぞ。<br>いらないんなら埋めておくか。,大物だ。風上に立つなよ？<br>敵を殺す前に、息と気配を殺すんだ。,アーサーはおいしいな。がじがじ。<br>…甘噛みだから許してくれ。,なんだよ！　骨を噛むのは、保全機能なんだよ！<br>他にも仰向けに寝たり、アーサーを見ると尻尾を<br>振るのも保全機能だ！　他意なんてないからな！,血をまき散らせ！　喉笛を一撃だ！,仕方ないな。側に居てやるよ。,もっと一緒に居られると思ったのにな…。,601100010,601100020,601100030,601100010,601100050,601100030,601100020,601100080,601100080,601100100,,
10001047,10001047,10001047,妖精,ルサリィ,,SUPERRARE,4,335,559,0,0,0,0,42,70,0,42,70,0,40,45,,100,70,500,14400111,14400112,,1,1,10001047,0,10001047,1,L,6,104,5000,,,『断絶の時代』では、局地的な天候制<br>御を担当していた妖精。干ばつに見舞<br>われた地に人工降雨を施す仕事に従事<br>していた。現在では気象情報とアクセ<br>スする手段が失われ、気紛れにあちこ<br>ちの村や街へ集中豪雨を降らせる、災<br>害そのものと化している。,バチ子,矢作 紗友里,FEMALE,84,53,82,148,43,RIGHT,,,,,,,,,女性,B:84、W:53、H:82,148cm,43kg,右,,,,,,,,,女性,B:84、W:53、H:82,148cm,43kg,右,,,,,,,,,天候を操る力を侮らない方がいいわ。<br>過去の戦でも、天候が戦況を左右することが<br>幾度と無くあったのよ。,ジジジ……、わたしはルサリィ、<br>天候を操る妖精よ……。,ジジジ……、わたしはルサリィ、<br>天候を操る妖精よ……。,晴れやかな気分ね。,天候制御システムの精度が少し<br>上昇したわ。,これ以上、上がらないわ。<br>上げられるのは気温くらいよ。,晴れるといいわね。<br>天気も気分も。,晴れやかな気分にしてあげる。,宝箱、発見……、ジジジ、<br>拾っておく？,強敵を発見。ザザザ……、<br>荒れ模様ね……。,なかなかいい『気』を<br>まとっているわね。,あなたと一緒にいるのは楽しそう。<br>少なくとも一人で天気をいじってるより、<br>ずっといいわ。,殴り合いなら負けないわよ！,潤いの雨をみんなに……！,雨天延期ってことにする……？,601110010,601110020,601110030,601110010,601110050,601110030,601110020,601110090,601110090,601110100,,
10001048,10001048,10001047,黒雲の妖精,ルサリィ,,ULTRARARE,4,623,923,0,0,0,0,78,115,0,78,115,0,50,55,,100,90,500,14400121,14400122,,1,2,10001048,0,10001048,1,L,6,105,15000,,,『断絶の時代』では、局地的な天候制<br>御を担当していた妖精。干ばつに見舞<br>われた地に人工降雨を施す仕事に従事<br>していた。現在では気象情報とアクセ<br>スする手段が失われ、気紛れにあちこ<br>ちの村や街へ集中豪雨を降らせる、災<br>害そのものと化している。,バチ子,矢作 紗友里,FEMALE,84,53,82,148,43,RIGHT,,,,,,,,,女性,B:84、W:53、H:82,148cm,43kg,右,,,,,,,,,女性,B:84、W:53、H:82,148cm,43kg,右,,,,,,,,,運を天に任せる必要はないわ。<br>天はわたしが操るから。,わたしを手に入れたということは、<br>自然を味方につけたようなものよ。,どう？<br>わたしの生まれ変わった姿は？,ついでに気温も上げちゃおうかしら。,試しに、この辺り一帯を<br>干ばつにでもしてみる？,誰にでも限界はあるわ。そして、<br>今のわたしには、これが限界。,旅行日和ね。まあ、わたしが<br>天気を操ったんだけど。,戦いの流れを読むのも、<br>風の流れを読むのも同じことよ。,宝箱を見つけたわ。<br>いい風が吹いてるわね。,大物を見つけたわ。<br>殴り込みに行く？,あなたの周りには、<br>いい空気が流れてるわ。,雨の日も晴れの日も、ジジジ……、<br>あなたと苦楽を共にするわ。<br>……天気なんか、自由に変えられるし。,予報……、血の雨が降るでしょう！,天は我らに味方せり、よ……！,涙雨が止まらないわ……。,601110010,601110020,601110030,601110010,601110050,601110030,601110020,601110090,601110090,601110100,,
#161003_キャメロットの精鋭たちガチャ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10107009,10107009,10107009,騎士,第一型モードレッド,,ULTRARARE,0,857,1269,0,143,212,0,0,0,0,0,0,0,50,55,,100,90,2000,11103451,11103452,,1,1,10107009,0,10107009,1,L,9,105,15000,,,魔女モルゴースの奸計によって生み出<br>されてしまった、ブリテンを滅ぼすた<br>めの騎士。体内に全てのアーサーの因<br>子があり、それを検索する事によって<br>、相手がどんなアーサーであっても一<br>撃で殺害する攻撃を放てる。その毒々<br>しい生い立ちに反して本人は清廉潔白<br>。馬鹿正直ゆえのトラブルを起こして<br>しまう事も。,牛木義隆,福山 潤,MALE,88,70,90,178,68,RIGHT,,,,,,,,,男性,C:88、W:70、H:90,178cm,68kg,右,,,,,,,,,男性,C:88、W:70、H:90,178cm,68kg,右,,,,,,,,,あなたには趣味はあるのか？　恥ずかしいが、<br>私には特にないんだ。もし、何か面白いものが<br>あれば教えてほしい。よろしく頼む。,あなたは王として正しい国を作れ。<br>さもなければ、私は…。,あなたは王として正しい国を作れ。<br>さもなければ、私は…。,これは、アーサーを殺すために<br>生み出された、呪われた力だ…。,私は、自分の力が恐ろしい。,これが私の力か…。<br>…望んだものではないが。,アーサー同士で小競り合い、か。<br>内憂外患とはこのことだな。,あなたに力を貸そう。<br>王に仕える騎士として。,宝箱だな。寄り道をするなら<br>早く行ってきてくれ。,ヤツらが街へ進めば大変な<br>ことになる…ここで止めるぞ。,この剣をあなたに向けたくはない。<br>それが私の願いだ。,私はアーサーを殺すために作られた騎士だ。<br>だが、それは私の望んだことではない。<br>私は…王の忠実な騎士として生まれたかった。,私に力を…!　全リミッターカット！,よし…敵を討つなら、今のうちだ。,私はなんのために生まれてきたのだ…。,600370010,600370020,600370030,600370030,600370050,600370030,600370020,600370080,600370090,600370010,,
10107010,10107010,10107009,裏切りの騎士,第一型モードレッド,,MILLIONRARE,0,1508,2094,0,251,349,0,0,0,0,0,0,0,60,65,,100,100,2000,11103461,11103462,,1,2,10107010,0,10107010,1,L,9,106,30000,,,魔女モルゴースの奸計によって生み出<br>されてしまった、ブリテンを滅ぼすた<br>めの騎士。体内に全てのアーサーの因<br>子があり、それを検索する事によって<br>、相手がどんなアーサーであっても一<br>撃で殺害する攻撃を放てる。その毒々<br>しい生い立ちに反して本人は清廉潔白<br>。馬鹿正直ゆえのトラブルを起こして<br>しまう事も。,牛木義隆,福山 潤,MALE,88,70,90,178,68,RIGHT,,,,,,,,,男性,C:88、W:70、H:90,178cm,68kg,右,,,,,,,,,男性,C:88、W:70、H:90,178cm,68kg,右,,,,,,,,,釣りを始めてみたのだが、私には向かなかった。<br>不必要な狩猟も、無駄な命のやりとりも<br>どうにも好きになれなくてな。ふむ…。,この剣はあなたのためにあるわけでは<br>ない。ブリテンにささげる剣だ…。,まだ私をそばに置く気か？<br>あなたも物好きなアーサーだな。,王を殺すための力が、王を助ける<br>力になるとは…皮肉だな。,やはり宿命からは<br>逃れられないのか…？,教えてくれ、アーサー。<br>この力を、私はどこへ向ければいい？,道具や食料をムダ使いするべきでは<br>ない。計画的に行動するとしよう。,あなたの力になろう。<br>王を信じる者として。,拾っておくのも悪くはない。<br>どこかで役に立つかもしれないぞ。,私の剣を使えば、<br>素早く仕留められそうだ。,あなたはいい王になれる。<br>だから、決して道を踏み外すなよ。,国が乱れれば、私はあなたを殺さなくては<br>いけない。だが、今の私ではきっとこの剣は鈍る<br>だろう。願わくば、あなたと共に国を守りたい。,この剣で、私はブリテンを守る！,この場は後衛を務めよう。,ここで朽ちていいはずがない…！,600370010,600370020,600370030,600370030,600370050,600370030,600370020,600370080,600370090,600370010,,
10202001,10202001,10202001,騎士,支援型ネージュ,,ULTRARARE,0,1028,1523,0,114,169,0,0,0,0,0,0,0,50,55,,100,90,2000,12502301,12502302,,1,1,10202001,0,10202001,1,L,7,105,15000,,,ここ数年でブリテンでも認知されるよ<br>うになったクリスマス。聖夜のイベン<br>トを取り仕切るメンバーとして製造さ<br>れた特殊な個体。イベント会場に設置<br>されている雪だるまに化け、民衆に紛<br>れ込んでいる外敵側のスパイや危険人<br>物を発見し、情報を入手する役目を与<br>えられた。だが、自分も皆と同じよう<br>にオシャレしてイベントに参加したい<br>という欲求が今にも爆発してしまいそ<br>うな様子だ。,keepout,伊藤 かな恵,FEMALE,77,56,79,145,38,RIGHT,,,,,,,,,女性,B:77、W:56、H:79,145cm,38kg,右,,,,,,,,,女性,B:77、W:56、H:79,145cm,38kg,右,,,,,,,,,ダウンロード中,アーサー様あるところに……<br>雪だるまあり！,ほら、見て見てアーサー様！<br>ネージュの成長、雪だるま式っスよ！,ついにホンキ出しちゃうっスよ！,雪も積もればだるまとなるっす！<br>自分磨きも雪だるまのたしなみっス！,暑さで溶けないように、<br>耐熱仕様の雪だるまを開発したっス！,あッ、アーサー様お出かけっすか？<br>どこへでもついてゆくっスよ！,あー、アイス食べたいっスか？<br>もー、仕方ないなァ……,ふっふっふー、アーサー様もこの<br>ダイナマイトボディに釘づけっすね？,ふぇ～……<br>ちょっとアタマを冷やすっス！,ふあッ！？<br>アーサー様ァ、くすぐったいっスよ！,ネージュは雪だるまっスからね。<br>放置には慣れて、いないから……<br>たまにはいじってほしいっス。,雪だるまだって手出しはするっスよ！,降りかかる火の粉は払わねば！,ふえぇ～……バトルが熱すぎてェ……,650200010,650200020,650200030,650200030,650200050,650200030,650200020,650200080,650200090,650200010,,
10202002,10202002,10202001,氷雪の申し子,支援型ネージュ,,MILLIONRARE,0,1809,2513,0,201,279,0,0,0,0,0,0,0,60,65,,100,100,2000,12502311,12502312,,1,2,10202002,0,10202002,1,L,7,106,30000,,,ここ数年でブリテンでも認知されるよ<br>うになったクリスマス。聖夜のイベン<br>トを取り仕切るメンバーとして製造さ<br>れた特殊な個体。イベント会場に設置<br>されている雪だるまに化け、民衆に紛<br>れ込んでいる外敵側のスパイや危険人<br>物を発見し、情報を入手する役目を与<br>えられた。だが、自分も皆と同じよう<br>にオシャレしてイベントに参加したい<br>という欲求が今にも爆発してしまいそ<br>うな様子だ。,keepout,伊藤 かな恵,FEMALE,77,56,79,145,38,RIGHT,,,,,,,,,女性,B:77、W:56、H:79,145cm,38kg,右,,,,,,,,,女性,B:77、W:56、H:79,145cm,38kg,右,,,,,,,,,ダウンロード中,アーサー様あるところに……<br>雪だるまあり！,ほら、見て見てアーサー様！<br>ネージュの成長、雪だるま式っスよ！,ついにホンキ出しちゃうっスよ！,雪も積もればだるまとなるっす！<br>自分磨きも雪だるまのたしなみっス！,暑さで溶けないように、<br>耐熱仕様の雪だるまを開発したっス！,あッ、アーサー様お出かけっすか？<br>どこへでもついてゆくっスよ！,あー、アイス食べたいっスか？<br>もー、仕方ないなァ……,ふっふっふー、アーサー様もこの<br>ダイナマイトボディに釘づけっすね？,ふぇ～……<br>ちょっとアタマを冷やすっス！,ふあッ！？<br>アーサー様ァ、くすぐったいっスよ！,ネージュは雪だるまっスからね。<br>放置には慣れて、いないから……<br>たまにはいじってほしいっス。,雪だるまだって手出しはするっスよ！,降りかかる火の粉は払わねば！,ふえぇ～……バトルが熱すぎてェ……,650200010,650200020,650200030,650200030,650200050,650200030,650200020,650200080,650200090,650200010,,
10107001,10107001,10107001,騎士,第二型ガレス,,ULTRARARE,0,1199,1777,0,0,0,0,0,0,0,86,127,0,50,55,,100,90,2000,13601221,13601222,,1,1,10107001,0,10107001,1,M,6,105,15000,,,戦力面を優先するあまり割とピーキー<br>な仕様の多いガウェイン、ガヘリスら<br>ロット王シリーズにおいて、比較的人<br>格面で安定している良心的存在。色ん<br>な騎士から色んな無茶ぶりをされても<br>サラリと解決しているところから、実<br>はかなりの技量を持ち、かつ無意識的<br>に頼られている事が窺える。……ただ<br>し八方美人なその性質が、彼女ではな<br>くその周りで小競り合いを生み出すと<br>も。,文倉十,佐倉 綾音,FEMALE,83,55,80,153,50,RIGHT,,,,,,,,,女性,B:83、W:55、H:80,153cm,50kg,右,,,,,,,,,女性,B:83、W:55、H:80,153cm,50kg,右,,,,,,,,,ぼくって案外、料理上手いんですよ？<br>兄達に任せておくと、ろくでもない料理しか<br>出てこないから、自然と上達したんです。,えっと……、ぼくなんかで<br>良かったですか？,えっと……、ぼくなんかで<br>良かったですか？,ぼくだって、成長期ですから！,どうです？<br>なかなかのものでしょう？,これが、今のぼくにできる<br>精一杯です。,いい旅になるといいですね！,よぉ～し、ぼくだって……！,宝箱ですよ。<br>いいものが入ってるといいですね。,大物です……！<br>び、ビビってなんかいませんよ？,あなたにお仕えできて、<br>良かったです。,あなたを守るため、<br>ぼくは生まれてきたのかもしれません。<br>……なんて、大げさ過ぎます？,ぼくだって……！,頑張りましょう、みなさん！,お、置いてかないでー！！,601010010,601010020,601010030,601010030,601010050,601010030,601010020,601010080,601010090,601010010,,
10107002,10107002,10107001,柔手の騎士,第二型ガレス,,MILLIONRARE,0,2111,2932,0,0,0,0,0,0,0,150,209,0,60,65,,100,100,2000,13601231,13601232,,1,2,10107002,0,10107002,1,L,6,106,30000,,,戦力面を優先するあまり割とピーキー<br>な仕様の多いガウェイン、ガヘリスら<br>ロット王シリーズにおいて、比較的人<br>格面で安定している良心的存在。色ん<br>な騎士から色んな無茶ぶりをされても<br>サラリと解決しているところから、実<br>はかなりの技量を持ち、かつ無意識的<br>に頼られている事が窺える。……ただ<br>し八方美人なその性質が、彼女ではな<br>くその周りで小競り合いを生み出すと<br>も。,文倉十,佐倉 綾音,FEMALE,83,55,80,153,50,RIGHT,,,,,,,,,女性,B:83、W:55、H:80,153cm,50kg,右,,,,,,,,,女性,B:83、W:55、H:80,153cm,50kg,右,,,,,,,,,ぼく、手の美しさだけは自信があるんです。<br>剣を振るってる割には、マメ１つないでしょ？<br>へへへ……♪,頼まれた以上は頑張りますよ……！<br>ぼくだって……,どうですか……？<br>少しは強くなったように見えます？,やればできるんですよ。<br>ぼくだって！,兄達には敵わないかもしれないけど、<br>ぼくだって……！,けっこう成長したと思いません？<br>……どこ見てるんですか！,今回は活躍しますよー！,ぼくに任せてください！,宝箱です。<br>ラッキーですね！,大物です。アレを倒せば、<br>兄達も認めてくれるでしょうか？,もう少し側に近づいても<br>いいですか？,あなたを守るためなら、<br>兄達を敵に回すことも厭いません！<br>……できるだけ、避けたいですが。,兄譲りの一撃を……！,まだ頑張れるはずです！,次はきっとうまくいきますって……、ね？,601010010,601010020,601010030,601010030,601010050,601010030,601010020,601010080,601010090,601010010,,
10107003,10107003,10107003,騎士,特異型シーザー,,ULTRARARE,0,514,762,0,0,0,0,0,0,0,200,296,0,50,55,,100,90,2000,14302571,14302572,,1,1,10107003,0,10107003,1,M,1,105,15000,,,『王道』を自らの足で切り開く唯我独<br>尊の騎士。単純な戦闘能力の他、話術<br>や政治の分野でも凄まじい才能を発揮<br>する。実は沈没船の中にあった古代の<br>英傑の遺骨から因子を採取した複製。<br>オリジナルは太古の時代、究極の軍人<br>と賞賛された人物だった。良くも悪く<br>も天才肌で、その力を当然のもの、平<br>均値のものでしかないと考えているた<br>め、才能に対する恐怖や嫉妬にやや頓<br>着しない傾向あり。勝負馬鹿だが、自<br>分が敗北すると世界はまだまだ広いの<br>かと笑うらしい。,生煮え,矢作 紗友里,FEMALE,82,54,81,158,49,RIGHT,,,,,,,,,女性,B:82、W:54、H:81,158cm,49kg,右,,,,,,,,,女性,B:82、W:54、H:81,158cm,49kg,右,,,,,,,,,勝利の栄光を手にするため、どれだけの血を<br>民に強いるか、近くで見せてもらおうかしら。<br>そなたの覇道には、私も興味があるのよ。,緊張する必要はないわ。<br>楽にしてもらって結構よ。,緊張する必要はない。<br>楽にしてもらって結構よ。,あまりに手応えがないのだけど。<br>こんなことばかり続けていていいの？,後れはとらないわ。<br>まだその心配はなさそうだけどね。,あれこれ広げすぎるのはよくないと<br>私は過去に学んだのよ。,賽は投げられたってね。<br>川越えるのは面倒だけど。,悪いけど、ひとりでも戦えるのよ。<br>こんな風にね！,こんなチンケな宝箱で満足なんて…。<br>もっと探しましょう。物足りないの！,所詮は小物よ。粋がってるだけの<br>小童に現実を突きつけましょう？,信頼してくれるのかしら？<br>ならそれに応えなきゃね。,信頼すべき仲間に囲まれて、驕りもせずに<br>ただただ民のために尽くしているのね…。<br>そなたは甘いわ。甘いけど、嫌いじゃない。,踏みつぶされるのが好き？　変態！,背中は預けてやるわ。,まだまだ世界は広いのね…。,601500010,601500020,601500030,601500030,601500050,601500030,601500020,601500080,601500090,601500010,,
10107004,10107004,10107003,名高き女皇,特異型シーザー,,MILLIONRARE,0,905,1257,0,0,0,0,0,0,0,352,489,0,60,65,,100,100,2000,14302581,14302582,,1,2,10107004,0,10107004,1,L,1,106,30000,,,『王道』を自らの足で切り開く唯我独<br>尊の騎士。単純な戦闘能力の他、話術<br>や政治の分野でも凄まじい才能を発揮<br>する。実は沈没船の中にあった古代の<br>英傑の遺骨から因子を採取した複製。<br>オリジナルは太古の時代、究極の軍人<br>と賞賛された人物だった。良くも悪く<br>も天才肌で、その力を当然のもの、平<br>均値のものでしかないと考えているた<br>め、才能に対する恐怖や嫉妬にやや頓<br>着しない傾向あり。勝負馬鹿だが、自<br>分が敗北すると世界はまだまだ広いの<br>かと笑うらしい。,生煮え,矢作 紗友里,FEMALE,82,54,81,158,49,RIGHT,,,,,,,,,女性,B:82、W:54、H:81,158cm,49kg,右,,,,,,,,,女性,B:82、W:54、H:81,158cm,49kg,右,,,,,,,,,石橋を叩いて渡るなんて面白くないじゃない。<br>短い人生なんだからハイリスクでいいの。<br>苦痛も数十年で終わるんだから。,私を引き当てるその強運。<br>ともに覇道を歩む資格があるようね。,その面構え、結構好きよ？<br>早速お手並み拝見といこうかしら。,訓練なんて退屈よね…。<br>実戦で鍛えた方がいいんじゃない？,王を務めるからには何事も半端じゃ<br>務まらないからね。,やっぱり力はつくものね。<br>ブリテン統一くらいなら余裕でしょ。,この一歩は誰から見ても偉大で<br>やがて覇道となるだろう。ふふ。,これで充分でしょ。それとも、<br>もっとボコボコにしておく？,来る者拒まずが覇道の基本だけどさ、<br>こんなのばっかだとちょっとね…。,強敵を倒してこそ、<br>覇道に箔が付くでしょ。,み、認めてやらなくもない…。<br>不本意だけど！　しぶしぶだけど！,もし私が王で、そなたが騎士だとしても<br>そなたは同じように振る舞うのでしょう？<br>…なんだかズルいわ。それって。,既に勝負は決している！,受け取りなさい、私の慈悲よ。,まだよ、勝つまで諦めない！,601500010,601500020,601500030,601500030,601500050,601500030,601500020,601500080,601500090,601500010,,
10107005,10107005,10107005,騎士,特異型ロビンフッド,,SUPERRARE,0,646,1077,0,46,77,0,0,0,0,0,0,0,40,45,,100,70,2000,12602011,12602012,,1,1,10107005,0,10107005,1,M,6,104,5000,,,無数の木々が生い茂る深い森の中であ<br>っても、正確に標的を射抜く事ができ<br>る弓の名手。腕は一流だが感覚を頼り<br>にし過ぎるため、弓術としての完成は<br>見ない。実はブリテンの森の中から出<br>てきた少女の因子を基に作られた複製<br>。オリジナルは『シャーウッドの森』<br>に拠点を置いて圧政に立ち向かったと<br>いうが、そのような地名は見当たらな<br>い。森の中に埋もれた『断絶の時代』<br>の遺跡の影響で時空を超越したのかも<br>しれないが……？,卵の黄身,佐倉 綾音,FEMALE,85,58,84,165,54,RIGHT,,,,,,,,,女性,B:85、W:58、H:84,165cm,54kg,右,,,,,,,,,女性,B:85、W:58、H:84,165cm,54kg,右,,,,,,,,,おっと、こっから先はあたしの森だ。<br>通してほしくば頭にリンゴでも置いて歩きな。<br>賢いおつむをリンゴごとブチ抜いてやるよ！,言っとくけど、あたしって無能な奴の<br>寝首かくタイプだから。よろしく。,言っとくけど、あたしって無能な奴の<br>寝首かくタイプだから。よろしく。,鍛錬だって？　そんなもんしなくても<br>充分通用すると思うんだけど。,指先の感覚で分かるんだよ。獲物に<br>当たるかどうかがっ！　…ほらね？,そんなに違いが分かんないんだけど。<br>あんたは何か感じるのか？,森でも山でもどこでも、と言いたいが<br>海は勘弁してくれ。魚は嫌いなんだ。,ほら、下がった下がった！<br>上から弓が降ってくるよ！,射抜き甲斐のない奴だと思ったら<br>宝箱だったか。つまんないの。,シッ！　…居るぞ。デカブツだ。<br>さて、どっから攻めるかな。,あんた、見かけによらず結構やるな。<br>少なくとも寝首はかかなくて済むよ！,正義とか悪とかあたしはどっちでもいいんだ。<br>困ってる奴が居れば手を差し伸べるってのが<br>あたしの流儀なんでね。あんたはどうだ？,動くな！　当たんねえだろ！,そこは射線上だ！　半歩下がれ！,このあたしが外した…？　そんなはず…。,601280010,601280020,601280030,601280030,601280050,601280030,601280020,601280080,601280090,601280010,,
10107006,10107006,10107005,天性の軽射手,特異型ロビンフッド,,ULTRARARE,0,1199,1777,0,86,127,0,0,0,0,0,0,0,50,55,,100,90,2000,12602021,12602022,,1,2,10107006,0,10107006,1,L,6,105,15000,,,無数の木々が生い茂る深い森の中であ<br>っても、正確に標的を射抜く事ができ<br>る弓の名手。腕は一流だが感覚を頼り<br>にし過ぎるため、弓術としての完成は<br>見ない。実はブリテンの森の中から出<br>てきた少女の因子を基に作られた複製<br>。オリジナルは『シャーウッドの森』<br>に拠点を置いて圧政に立ち向かったと<br>いうが、そのような地名は見当たらな<br>い。森の中に埋もれた『断絶の時代』<br>の遺跡の影響で時空を超越したのかも<br>しれないが……？,卵の黄身,佐倉 綾音,FEMALE,85,58,84,165,54,RIGHT,,,,,,,,,女性,B:85、W:58、H:84,165cm,54kg,右,,,,,,,,,女性,B:85、W:58、H:84,165cm,54kg,右,,,,,,,,,へえ、ご立派な理想論を掲げてるワケだ。<br>いや、素直に気に入ったよ。あんたみたいな<br>王ばっかなら争いも起こらないだろうにね。,ま、細かいことは抜きにして<br>軽く一暴れさせてくんない？,なるほど、こういうことか。<br>ほれ、前とどっちが好きか言ってみ？,あんまり甘く見ないでほしいね。<br>こんくらい余裕だっての。,あー、弓術とか難しい理論はいい！<br>実地訓練があたしのモットーなの！,順調も順調よ。射抜けないのは<br>アーサーのハートだけって感じだ。,それじゃどっちから行く？<br>矢を倒して決めよっか？,隙あらば急所をズドン、とね。<br>アーサーも背後には気をつけなよ？,拾えるものは拾っておかないと、<br>あとで泣いても遅いんだよな。,こいつは骨のありそうなヤツだね。<br>まあ急所はまる見えだけどもさ。,視線を感じる？　あーごめんごめん。<br>獲物を目で追う癖が抜けなくてさ。,仕方ないねぇ。あたしが守ってあげるよ！<br>手始めに、アーサーの周りを監視するかな。<br>変な行動を取った奴から撃ち抜けるようにね。,助けを呼んでももう遅いよ。,しっかりしろよ！　頼りない奴だね！,アーサー、あんたならやれるだろ…。,601280010,601280020,601280030,601280030,601280050,601280030,601280020,601280080,601280090,601280010,,
10107007,10107007,10107007,騎士,第二型カルディス,,SUPERRARE,0,277,462,0,0,0,0,0,0,0,107,179,0,40,45,,100,70,2000,14202021,14202022,,1,1,10107007,0,10107007,1,M,2,104,5000,,,強力だがピーキーで知られるガラハッ<br>ド、パーシヴァルの改良型を想定して<br>製造された騎士。……なのだが、結果<br>として本来あった長所を潰してしまっ<br>た。目立った特徴はないのだが、逆に<br>言えば常に安定、冷静、一律の成果を<br>あげるため、防衛、撤退、遅滞戦など<br>、粘り強く敵の足を止める戦闘で功績<br>を見せている。,よつ葉,矢作 紗友里,MALE,78,55,81,155,51,RIGHT,,,,,,,,,男性,C:78、W:55、H:81,155cm,51kg,右,,,,,,,,,男性,C:78、W:55、H:81,155cm,51kg,右,,,,,,,,,まあまあ、落ち着きなよ。きみがどっしり<br>構えてないと、みんな焦っちゃうんだからさ。<br>だから落ち着いて、ボクに命令して？,ボクに用事があるんでしょ？<br>どんなことをして欲しいのかな？,ボクに用事があるんでしょ？<br>どんなことをして欲しいのかな？,あはは、育っちゃったみたいだよ。<br>困っちゃうなぁ～。,きみが教えてくれたことは<br>ちゃ～んと覚えてるからね？,なんだか心地良いよ。<br>きみの命令って不思議なんだね。,ちょ、ちょっと待って！<br>準備するから置いてかないで～。,ごめん。今のボクにはこんなことしか<br>できないみたい。,きみのために拾ってきてあげたよ。<br>喜んでくれるかい？,手強いからって逃げちゃだめだよね。<br>きみを守るって誓ったんだもん。,そんなにかわいい…かな…？<br>な、なんだか照れちゃうよ。,ボク、きみのことあんまり知らなかったよ。<br>きみ…アーサーのこと、教えてくれるかい？<br>まずはその、好きなひ…干物とかからさ！,ボクだっていろいろできるんだよ？,みんな、もう一息頑張って！,きみだけでも助かれば、ボクは嬉しい…。,601440010,601440020,601440030,601440030,601440050,601440030,601440020,601440080,601440090,601440010,,
